date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:00:55	31417/31417	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jul%202022%2004:59:27%20GMT	https://www.adfiap.org/44th/	C:/My%20Web%20Sites/Annual%20Meeting%2044th/www.adfiap.org/44th/index.html	(from )
13:00:55	91/91	---M-Z	200	added ('OK')	text/plain	date:Wed,%2027%20Jul%202022%2004:59:27%20GMT	https://www.adfiap.org/robots.txt		(from )
13:00:56	284/284	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2027%20Jul%202022%2004:59:28%20GMT	http://www.adfiap.org/44th/wp-includes/css/dist/block-library/style.min.css	C:/My%20Web%20Sites/Annual%20Meeting%2044th/www.adfiap.org/44th/wp-includes/css/dist/block-library/style.min.0.delayed	(from https://www.adfiap.org/44th/)
13:00:57	88932/88932	---M-Z	200	added ('OK')	text/css	date:Tue,%2012%20Jul%202022%2020:52:39%20GMT	https://www.adfiap.org/44th/wp-includes/css/dist/block-library/style.min.css	C:/My%20Web%20Sites/Annual%20Meeting%2044th/www.adfiap.org/44th/wp-includes/css/dist/block-library/style.min.css	(from https://www.adfiap.org/44th/)
13:00:57	293/293	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2027%20Jul%202022%2004:59:29%20GMT	http://www.adfiap.org/44th/wp-content/plugins/contact-form-7/includes/css/styles.css	C:/My%20Web%20Sites/Annual%20Meeting%2044th/www.adfiap.org/44th/wp-content/plugins/contact-form-7/includes/css/styles.css	(from https://www.adfiap.org/44th/)
13:00:57	2731/2731	---M-Z	200	added ('OK')	text/css	date:Tue,%2019%20Jul%202022%2009:12:56%20GMT	https://www.adfiap.org/44th/wp-content/plugins/contact-form-7/includes/css/styles.css	C:/My%20Web%20Sites/Annual%20Meeting%2044th/www.adfiap.org/44th/wp-content/plugins/contact-form-7/includes/css/styles.css	(from https://www.adfiap.org/44th/)
13:00:57	268/268	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2027%20Jul%202022%2004:59:29%20GMT	http://www.adfiap.org/44th/wp-content/themes/44th/style.css	C:/My%20Web%20Sites/Annual%20Meeting%2044th/www.adfiap.org/44th/wp-content/themes/44th/style.css	(from https://www.adfiap.org/44th/)
13:00:57	61223/61223	---M-Z	200	added ('OK')	text/css	date:Sun,%2002%20May%202021%2018:26:57%20GMT	https://www.adfiap.org/44th/wp-content/themes/44th/style.css	C:/My%20Web%20Sites/Annual%20Meeting%2044th/www.adfiap.org/44th/wp-content/themes/44th/style.css	(from https://www.adfiap.org/44th/)
13:00:58	271/271	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2027%20Jul%202022%2004:59:30%20GMT	http://www.adfiap.org/44th/wp-includes/js/jquery/jquery.min.js	C:/My%20Web%20Sites/Annual%20Meeting%2044th/www.adfiap.org/44th/wp-includes/js/jquery/jquery.min.js	(from https://www.adfiap.org/44th/)
13:00:59	279/279	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2027%20Jul%202022%2004:59:30%20GMT	http://www.adfiap.org/44th/wp-includes/js/jquery/jquery-migrate.min.js	C:/My%20Web%20Sites/Annual%20Meeting%2044th/www.adfiap.org/44th/wp-includes/js/jquery/jquery-migrate.min.js	(from https://www.adfiap.org/44th/)
13:00:59	89521/89521	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2030%20Jul%202021%2014:24:39%20GMT	https://www.adfiap.org/44th/wp-includes/js/jquery/jquery.min.js	C:/My%20Web%20Sites/Annual%20Meeting%2044th/www.adfiap.org/44th/wp-includes/js/jquery/jquery.min.js	(from https://www.adfiap.org/44th/)
13:00:59	11224/11224	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2018%20Nov%202020%2009:06:06%20GMT	https://www.adfiap.org/44th/wp-includes/js/jquery/jquery-migrate.min.js	C:/My%20Web%20Sites/Annual%20Meeting%2044th/www.adfiap.org/44th/wp-includes/js/jquery/jquery-migrate.min.js	(from https://www.adfiap.org/44th/)
13:00:59	292/292	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2027%20Jul%202022%2004:59:31%20GMT	http://www.adfiap.org/44th/wp-content/themes/44th/js/libs/modernizr.custom.73208.js	C:/My%20Web%20Sites/Annual%20Meeting%2044th/www.adfiap.org/44th/wp-content/themes/44th/js/libs/modernizr.custom.73208.js	(from https://www.adfiap.org/44th/)
13:00:59	9698/9698	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2025%20Apr%202021%2011:50:08%20GMT	https://www.adfiap.org/44th/wp-content/themes/44th/js/libs/modernizr.custom.73208.js	C:/My%20Web%20Sites/Annual%20Meeting%2044th/www.adfiap.org/44th/wp-content/themes/44th/js/libs/modernizr.custom.73208.js	(from https://www.adfiap.org/44th/)
